"","POSTED_SPEED_LIMIT","STREET_NAME","LATITUDE","LONGITUDE","Type","regions","distances"
"238",35,"WACKER DR",41.887284171,-87.627039472,"crash","125","0.7"
"239",30,"CICERO AVE",41.874610276,-87.745198027,"crash","057","2.1"
"240",30,"WESTERN AVE",41.949664551,-87.688192141,"crash","027","0.4"
"241",35,"ASHLAND AVE",41.927051362,-87.668359476,"crash","091","0"
"242",30,"MONTROSE AVE",41.961055804,-87.727891206,"crash","004","1.4"
"243",30,"ARCHER AVE",41.7984342,-87.745311109,"crash","061","2.3"
"244",35,"SHERIDAN RD",42.002917729,-87.660943786,"crash","093","1.7"
"245",30,"MAPLEWOOD AVE",41.988700988,-87.693408342,"crash","051","1.3"
"246",30,"63RD ST",41.77969238,-87.641427913,"crash","118","2.2"
"247",35,"DR MARTIN LUTHER KING JR DR",41.777426651,-87.615702489,"crash","148","0.2"
"248",35,"INDIANA AVE",41.751127598,-87.619624849,"crash","063","1.5"
"249",20,"CARPENTER ST",41.7686549,-87.650716388,"crash","136","2.3"
"250",30,"MICHIGAN AVE",41.899248597,-87.624274978,"crash","139","0.5"
"251",35,"WESTERN AVE",41.903369609,-87.686889586,"crash","127","0"
"252",30,"ADDISON ST",41.946629661,-87.716329203,"crash","089","1"
"253",30,"83RD ST",41.743683754,-87.615858954,"crash","063","2.3"
"254",10,"KEDZIE AVE",41.760668583,-87.702854797,"crash","014","0.7"
"255",30,"WRIGHTWOOD AVE",41.928918723,-87.652448472,"crash","091","1.7"
"256",30,"95TH ST",41.721182299,-87.672829736,"crash","154","1.9"
"257",30,"OAK PARK AVE",41.952846611,-87.796423505,"crash","083","1.5"
"258",30,"MICHIGAN AVE",41.692559763,-87.621193695,"crash","035","3.2"
"259",30,"87TH ST",41.736376037,-87.625621311,"crash","036","1.6"
"260",30,"PULASKI RD",41.93066028,-87.726800325,"crash","177","0.2"
"261",30,"WESTERN AVE",42.008671587,-87.690310838,"crash","051","0.9"
"262",30,"WABASH AVE",41.895295592,-87.626962667,"crash","131","0.2"
"263",30,"ASHLAND AVE",41.756545414,-87.663443853,"crash","170","1.5"
"264",5,"DR MARTIN LUTHER KING JR DR",41.714580637,-87.614123395,"crash","035","1.1"
"265",30,"HALSTED ST",41.868126711,-87.646774857,"crash","034","2.2"
"266",30,"83RD ST",41.743468722,-87.643772407,"crash","137","1.8"
"267",30,"THORNDALE AVE",41.99014897,-87.659123155,"crash","093","1"
"268",30,"CERMAK RD",41.852758247,-87.630867376,"crash","117","2.1"
"269",30,"DIVISION ST",41.903639931,-87.65554697,"crash","112","1.6"
"270",30,"LAKE ST",41.885638274,-87.627858695,"crash","125","0.9"
"271",30,"MICHIGAN AVE",41.867502382,-87.62427526,"crash","033","0.7"
"272",35,"IRVING PARK RD",41.953764172,-87.727165987,"crash","087","1.5"
"273",30,"94TH ST",41.723208351,-87.657922681,"crash","168","2.1"
"274",15,"95TH ST",41.721081735,-87.664273384,"crash","168","2.2"
"275",30,"WESTERN AVE",41.870797034,-87.68630098,"crash","020","1.4"
"276",15,"WESTERN AVE",41.942747195,-87.688354321,"crash","026","0.3"
"277",30,"WRIGHTWOOD AVE",41.92992905,-87.643338315,"crash","091","2.7"
"278",30,"LAKE ST",41.885639799,-87.628019744,"crash","125","0.9"
"279",30,"ROOSEVELT RD",41.86735016,-87.64079708,"crash","034","1.6"
"280",30,"WABASH AVE",41.872940997,-87.626109091,"crash","033","0.1"
"281",30,"VINCENNES AVE",41.816585868,-87.614229576,"crash","013","2.2"
"282",30,"CHICAGO AVE",41.896389152,-87.654564143,"crash","077","1.8"
"283",30,"NORTH SHORE AVE",42.003398174,-87.672849989,"crash","093","1.6"
"284",30,"CERMAK RD",41.851548661,-87.715514879,"crash","162","2"
"285",30,"STATE ST",41.693394469,-87.622982837,"crash","035","3.1"
"286",30,"AINSLIE ST",41.970209526,-87.724901437,"crash","004","0.5"
"287",15,"18TH ST",41.856974422,-87.72083643,"crash","160","1.2"
"288",30,"48TH ST",41.80750455,-87.613319129,"crash","013","1.3"
